x,y,z
-14.0857,8.73195,-134.32
-14.0857,8.73195,-134.32
-14.0855,8.73154,-134.319
-14.0855,8.73154,-134.319
-14.0855,8.73154,-134.319
-14.0865,8.73243,-134.318
-14.0827,8.73105,-134.32
-14.086,8.73198,-134.316
-14.0851,8.73151,-134.316
-14.0848,8.73569,-134.319
-14.0826,8.73488,-134.318
-12.1096,14.3799,-141.964
-12.1091,14.3799,-141.963
-6.80014,13.7536,-146.565
-6.7907,13.7525,-146.567
-6.7907,13.7525,-146.567
-6.79086,13.7573,-146.567
-6.79025,13.7498,-146.559
-6.78978,13.7574,-146.565
-6.78963,13.755,-146.562
-12.3124,16.2397,-143.44
-12.3121,16.2417,-143.441
-12.3122,16.2425,-143.44
-12.3121,16.241,-143.438
-12.3121,16.241,-143.438
-12.3076,16.2404,-143.439
-12.3077,16.2403,-143.438
-10.305,9.16324,-138.334
-10.3062,9.16376,-138.329
-10.3062,9.16376,-138.329
-10.3077,9.16256,-138.324
-10.3072,9.16943,-138.33
-10.3082,9.16946,-138.328
-10.3069,9.16985,-138.33
-10.3069,9.16985,-138.33
-12.0044,8.43961,-135.872
-12.0048,8.43947,-135.87
-9.1323,9.11341,-139.448
-9.1334,9.11358,-139.447
-8.44017,16.2025,-147.183
-8.44228,16.2054,-147.183
-8.44228,16.2054,-147.183
-8.43982,16.206,-147.183
-8.44263,16.2027,-147.176
-8.44263,16.2027,-147.176
-8.44336,16.2042,-147.176
-14.3322,8.95905,-133.845
-14.332,8.95882,-133.845
-12.3768,17.0321,-143.848
-12.3727,17.0325,-143.848
-12.3721,17.0323,-143.849
-12.3685,17.0335,-143.846
-8.37083,16.5657,-147.405
-8.36935,16.566,-147.405
-13.4576,8.62399,-134.254
-13.4582,8.62412,-134.252
-10.0232,9.25887,-138.283
-10.0238,9.25874,-138.281
-14.7339,10.2184,-134.41
-14.7299,10.2148,-134.41
-14.7307,10.218,-134.41
-14.7307,10.218,-134.41
-14.7304,10.2189,-134.41
-8.30105,16.9256,-147.626
-8.29771,16.9263,-147.627
-8.29771,16.9263,-147.627
-8.29937,16.9302,-147.627
-8.29781,16.9286,-147.623
-8.29781,16.9286,-147.623
-8.29631,16.9339,-147.627
-11.8474,14.956,-142.008
-11.8474,14.956,-142.008
-11.8431,14.9559,-142.01
-11.8468,14.9571,-142.006
-11.4662,8.43542,-135.807
-11.4646,8.43578,-135.807
-11.4663,8.43442,-135.802
-11.4663,8.43442,-135.802
-11.4679,8.43458,-135.798
-11.4677,8.43865,-135.802
-11.4662,8.43936,-135.802
